com.samsung.shealth.step_daily_trend,6188005,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
970368ad-d27f-4ca3-80d4-5425a7e10166.binning_data.json,2019-09-20 22:48:22.159,2019-09-20 04:57:13.765,com.sec.android.app.shealth,-2,10717,1.5476196,8348.472,404.01035,VfS0qUERdZ,com.sec.android.app.shealth,970368ad-d27f-4ca3-80d4-5425a7e10166,1568937600000,
21b61fed-1c17-4ab3-bf70-d53f14a21cbd.binning_data.json,2019-11-02 22:36:50.106,2019-11-02 01:15:18.809,com.sec.android.app.shealth,-2,2988,1.4144398,2193.9797,114.790474,VfS0qUERdZ,com.sec.android.app.shealth,21b61fed-1c17-4ab3-bf70-d53f14a21cbd,1572652800000,
7c1b41f5-a6c1-405f-8a5e-7729ae06c57b.binning_data.json,2019-07-19 21:45:58.963,2019-07-19 03:35:05.743,com.sec.android.app.shealth,18,6781,6.9444447,4880.209,262.3636,AumAWJiKT9,com.sec.android.app.shealth,7c1b41f5-a6c1-405f-8a5e-7729ae06c57b,1563494400000,
d06fde13-7f96-4d76-8b43-46405caa1a4b.binning_data.json,2019-09-11 22:17:48.765,2019-09-11 04:34:41.143,com.sec.android.app.shealth,-2,6377,1.5796181,5012.7334,233.37589,VfS0qUERdZ,com.sec.android.app.shealth,d06fde13-7f96-4d76-8b43-46405caa1a4b,1568160000000,
a37cfc26-e387-4af2-8a20-4e04fd5d1006.binning_data.json,2019-06-21 22:17:53.972,2019-06-21 05:49:51.205,com.sec.android.app.shealth,-2,2353,1.3661335,1681.7216,91.34079,VfS0qUERdZ,com.sec.android.app.shealth,a37cfc26-e387-4af2-8a20-4e04fd5d1006,1561075200000,
edc41d14-8075-4ab1-90c8-84a1ef22ceac.binning_data.json,2019-07-16 00:25:18.055,2019-07-15 06:44:46.857,com.sec.android.app.shealth,-2,1381,1.5621445,1062.4011,53.866657,VfS0qUERdZ,com.sec.android.app.shealth,edc41d14-8075-4ab1-90c8-84a1ef22ceac,1563148800000,
5aa2d671-bade-416c-9786-44b87ca6bf7c.binning_data.json,2019-08-27 22:00:07.723,2019-08-27 22:00:07.723,com.sec.android.app.shealth,0,6543,3.7104855,5147.626,232.40912,dNgkxZR9yp,com.sec.android.app.shealth,5aa2d671-bade-416c-9786-44b87ca6bf7c,1566864000000,
eb2ba28a-9913-493f-9968-b6213e73d945.binning_data.json,2019-10-04 06:05:42.688,2019-10-03 01:04:26.049,com.sec.android.app.shealth,-2,15901,1.452387,11866.33,602.9239,VfS0qUERdZ,com.sec.android.app.shealth,eb2ba28a-9913-493f-9968-b6213e73d945,1570060800000,
99fac927-8bee-44a6-ad5c-6d2d70f3c3db.binning_data.json,2019-09-05 22:00:02.933,2019-09-05 22:00:02.933,com.sec.android.app.shealth,0,7101,2.1667414,5565.88,255.83539,dNgkxZR9yp,com.sec.android.app.shealth,99fac927-8bee-44a6-ad5c-6d2d70f3c3db,1567641600000,
3174951a-d4f6-4fa5-99a6-8312827fee19.binning_data.json,2019-08-28 18:05:32.286,2019-08-26 23:03:25.119,com.sec.android.app.shealth,-2,10313,1.5452186,7900.2876,384.26758,VfS0qUERdZ,com.sec.android.app.shealth,3174951a-d4f6-4fa5-99a6-8312827fee19,1566864000000,
