com.samsung.shealth.activity.day_summary,6188005,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
10805,6426174,,0,2019-08-05 21:35:19.107,2019-08-04 22:00:09.146,60,1019470,178,8281.929,407.70782,ed51f9db-9caa-41d2-af40-071f9cf7833b.extra_data.json,dNgkxZR9yp,61832,com.sec.android.app.shealth,6364342,8040000,ed51f9db-9caa-41d2-af40-071f9cf7833b,1564963200000,
10230,8432988,,2363920,2019-07-22 00:10:43.208,2019-07-20 22:00:00.381,60,1329070,231,6538.0415,520.7137,b8552bb0-7755-459d-9708-f8dd7fab3cdb.extra_data.json,dNgkxZR9yp,36000,com.sec.android.app.shealth,6033068,14400000,b8552bb0-7755-459d-9708-f8dd7fab3cdb,1563667200000,
8885,5319169,,0,2019-08-06 20:11:18.532,2019-08-05 22:00:02.858,60,360000,145,6793.1714,334.14935,6da61eb6-5598-4dc8-8d80-b8df3eb5927a.extra_data.json,dNgkxZR9yp,53389,com.sec.android.app.shealth,5265780,21720000,6da61eb6-5598-4dc8-8d80-b8df3eb5927a,1565049600000,
5553,3630052,,0,2019-07-21 00:55:14.820,2019-07-19 22:00:00.635,60,180000,100,3982.9834,208.44586,e8f1e0de-ab6a-4a83-a1a7-c72dfac38d90.extra_data.json,dNgkxZR9yp,24400,com.sec.android.app.shealth,3605652,20280000,e8f1e0de-ab6a-4a83-a1a7-c72dfac38d90,1563580800000,
9013,5780483,,0,2019-07-27 22:40:32.002,2019-07-26 22:00:00.149,60,858860,160,7033.1123,372.88373,5b53649f-d098-4ae8-9c1f-251b02182be7.extra_data.json,dNgkxZR9yp,249409,com.sec.android.app.shealth,5531074,25920000,5b53649f-d098-4ae8-9c1f-251b02182be7,1564185600000,
266,175553,,0,2019-08-11 20:58:23.674,2019-08-10 22:00:01.144,60,29348,3,207.32385,9.779188,ac14bd86-2783-4896-979d-e8f65747a8fb.extra_data.json,dNgkxZR9yp,2800,com.sec.android.app.shealth,172753,30960000,ac14bd86-2783-4896-979d-e8f65747a8fb,1565481600000,
9034,5665228,,0,2019-07-29 21:56:04.178,2019-07-28 22:00:00.447,60,3241100,155,6308.881,327.24823,3116bed1-ff26-4cf4-9ac8-2d8fce659ec9.extra_data.json,dNgkxZR9yp,32000,com.sec.android.app.shealth,5633228,33300000,3116bed1-ff26-4cf4-9ac8-2d8fce659ec9,1564358400000,
7524,5870601,,1242893,2019-07-26 21:56:03.837,2019-07-25 22:00:00.317,60,1242893,161,5517.6836,474.6725,ce548171-02c8-4d77-afee-8dffd49cbb75.extra_data.json,dNgkxZR9yp,4185,com.sec.android.app.shealth,4623523,14820000,ce548171-02c8-4d77-afee-8dffd49cbb75,1564099200000,
1807,1139052,,0,2019-08-17 22:00:00.603,2019-08-16 22:00:00.582,60,120000,30,1408.3033,65.47713,9c88025f-61a0-49be-870d-67c40087b346.extra_data.json,dNgkxZR9yp,8000,com.sec.android.app.shealth,1131052,23879999,9c88025f-61a0-49be-870d-67c40087b346,1566000000000,
2702,1757645,,0,2019-08-04 21:35:15.148,2019-08-03 22:00:01.060,60,43219,48,2021.7625,109.117004,a33b88d1-c516-4768-8c56-ea3129407727.extra_data.json,dNgkxZR9yp,66800,com.sec.android.app.shealth,1690845,17160000,a33b88d1-c516-4768-8c56-ea3129407727,1564876800000,
10407,5662362,,0,2019-08-12 19:39:03.379,2019-08-11 22:00:00.504,60,1495278,156,8476.244,405.20493,343fc5a2-6e1a-4644-bb00-69e0edfb20eb.extra_data.json,dNgkxZR9yp,250880,com.sec.android.app.shealth,5411482,16080000,343fc5a2-6e1a-4644-bb00-69e0edfb20eb,1565568000000,
4806,3434951,,639220,2019-08-02 02:54:20.205,2019-07-31 23:56:41.916,60,639220,93,3259.2896,221.36766,40128336-87b7-4b15-9ec2-869a6b7cef49.extra_data.json,dNgkxZR9yp,13043,com.sec.android.app.shealth,2782688,11100000,40128336-87b7-4b15-9ec2-869a6b7cef49,1564617600000,
