com.samsung.shealth.exercise.weather,6188005,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
0.0,,2019-12-27 17:27:56.310,48.812122,,,Cloudy,,1,TWC,2019-12-27 17:55:35.487,2019-12-27 17:55:35.487,0,2.1888947,9.0,84,UTC+0200,AumAWJiKT9,ddef70fa-cb44-0ac3-eab5-9a6cb6b6db18,com.sec.android.app.shealth,,,,3,1abd9b20-7443-d7ce-8063-7baeb7d51fee,
,0,2020-01-01 09:10:58.120,49.21652,,ESE. 120,Cloudy,0,1,TWC,2020-01-01 09:10:58.125,2020-01-01 09:10:58.125,1,0.4766361,2.0,100,UTC+0200,dNgkxZR9yp,a77d9f5f-1ad1-4aa6-b45d-dec7ec1c5e32,com.sec.android.app.shealth,km/h,0,10.0,3,74167b4d-e04d-43f9-bbae-5c46de43878b,
0.0,,2020-01-04 15:20:38.840,48.813583,,,Cloudy,,1,TWC,2020-01-04 15:34:20.032,2020-01-04 15:34:20.032,0,2.190621,8.0,76,UTC+0200,AumAWJiKT9,15b5e5f6-ae78-dc91-b1b5-2f5eee197343,com.sec.android.app.shealth,,,,3,1b2bd5a7-3017-32c8-aa7c-1115243ad85f,
0.0,,2020-01-10 18:09:02.490,48.809254,,,Cloudy,,1,TWC,2020-01-10 18:27:53.688,2020-01-10 18:27:53.688,0,2.1875782,7.0,82,UTC+0200,AumAWJiKT9,6acec482-ce04-9149-a407-abe1aed07122,com.sec.android.app.shealth,,,,3,4b8c545f-923a-33dd-867e-200c23599b59,
0.0,,2020-01-14 13:57:05.620,48.825768,,,Cloudy,,1,TWC,2020-01-14 14:19:31.920,2020-01-14 14:19:31.920,0,2.3357744,12.0,78,UTC+0200,AumAWJiKT9,6cd5fab5-0a04-cafd-3794-371012f505d5,com.sec.android.app.shealth,,,,3,43cc6f7b-8289-b547-ae97-ee18caa453f2,
,0,2020-06-14 13:50:01.065,49.138153,,S. 170,Mostly Cloudy,0,1,TWC,2020-06-14 13:50:01.066,2020-06-14 13:50:01.066,1,2.4732914,22.0,51,UTC+0300,dNgkxZR9yp,bb990c4d-b715-4238-b2a8-914838d1a87d,com.sec.android.app.shealth,km/h,0,8.0,3,258c03de-20d7-4528-bed8-68e5b5f175aa,
1.0,,2020-01-16 12:12:25.090,48.873676,,,Sunny,,1,TWC,2020-01-16 12:27:11.225,2020-01-16 12:27:11.225,0,2.3281817,12.0,74,UTC+0200,AumAWJiKT9,6e74c28c-76e1-1ddb-03e4-bb37a26878da,com.sec.android.app.shealth,,,,1,f764df14-9c11-0c52-4232-433f1fc5187d,
,0,2020-01-27 18:45:50.249,48.814682,,SW. 220,Cloudy,0,1,TWC,2020-01-27 18:45:50.252,2020-01-27 18:45:50.252,1,2.19119,8.0,92,UTC+0200,dNgkxZR9yp,d0c65d04-ac67-487b-95a9-e984950591ee,com.sec.android.app.shealth,km/h,0,24.0,3,97c34d6f-c92d-4486-bc82-6325c64a1804,
,0,2020-06-18 19:17:41.810,48.81484,,SW. 220,Sunny,0,1,TWC,2020-06-18 19:17:42.035,2020-06-18 19:17:42.035,1,2.1913304,18.0,65,UTC+0300,dNgkxZR9yp,d3a70b64-5c24-48d5-bcd1-4b6a0c019b3e,com.sec.android.app.shealth,km/h,0,14.0,1,02bb3390-23b6-431d-a569-7da84f2e2d51,
,0,2020-02-05 22:12:38.380,48.81508,,SE. 130,Clear,0,1,TWC,2020-02-05 22:12:38.384,2020-02-05 22:12:38.384,1,2.1917226,4.0,82,UTC+0200,dNgkxZR9yp,d4bdfdb9-671f-47bf-a995-28b440248d78,com.sec.android.app.shealth,km/h,0,8.0,18,4614e6fa-ec6a-4cff-aebb-95afbff4c55a,
