com.samsung.shealth.stress,6188005,7
start_time,custom,binning_data,tag_id,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2019-06-07 20:00:00.000,,fdf2eae0-90ed-06c0-f467-4555f4f4ef69.binning_data.json,10011,2019-06-07 21:03:21.873,2019-06-07 21:03:21.873,100.0,0.0,27.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-07 20:59:59.999,fdf2eae0-90ed-06c0-f467-4555f4f4ef69,
2019-06-24 12:00:00.000,,58e25a74-7ff1-8c9b-540b-c6c4637236c6.binning_data.json,10011,2019-06-24 13:03:52.588,2019-06-24 13:03:52.588,98.0,0.0,34.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-24 12:59:59.999,58e25a74-7ff1-8c9b-540b-c6c4637236c6,
2019-06-05 14:00:00.000,,359a7a29-610c-100a-7a91-1e0504138190.binning_data.json,10011,2019-06-05 15:08:26.567,2019-06-05 15:08:26.567,70.0,0.0,4.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-05 14:59:59.999,359a7a29-610c-100a-7a91-1e0504138190,
2019-06-08 10:00:00.000,,1b16bccb-adbd-6a7f-fc73-21d9655ebaca.binning_data.json,10011,2019-06-08 11:01:27.071,2019-06-08 11:01:27.071,100.0,0.0,23.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-08 10:59:59.999,1b16bccb-adbd-6a7f-fc73-21d9655ebaca,
2019-06-24 18:00:00.000,,b6d7abef-8196-2286-0ebb-63d3935404dd.binning_data.json,10011,2019-06-24 19:04:12.714,2019-06-24 18:15:06.336,26.0,0.0,1.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-24 18:59:59.999,b6d7abef-8196-2286-0ebb-63d3935404dd,
2019-06-05 20:00:00.000,,c4018b83-5451-7721-7e79-23118dab6ee8.binning_data.json,10011,2019-06-05 21:28:41.421,2019-06-05 21:28:41.421,100.0,0.0,86.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-05 20:59:59.999,c4018b83-5451-7721-7e79-23118dab6ee8,
2019-06-08 16:00:00.000,,645d4052-2c2d-b8ed-8119-0898643af3a5.binning_data.json,10011,2019-06-08 17:01:25.011,2019-06-08 17:01:25.011,100.0,0.0,30.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-08 16:59:59.999,645d4052-2c2d-b8ed-8119-0898643af3a5,
2019-06-04 20:00:00.000,,44d2e3a1-a9be-2184-fbbc-2818b3f907af.binning_data.json,10011,2019-06-04 21:06:59.239,2019-06-04 20:57:12.707,98.0,0.0,22.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-04 20:59:59.999,44d2e3a1-a9be-2184-fbbc-2818b3f907af,
2019-06-25 00:00:00.000,,2b66152b-7bd0-b954-068e-fad79435fe78.binning_data.json,10011,2019-06-25 01:10:19.353,2019-06-25 00:24:35.922,100.0,0.0,6.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-25 00:59:59.999,2b66152b-7bd0-b954-068e-fad79435fe78,
2019-06-06 04:00:00.000,,74dae30a-e304-7272-4da2-d7c4adc17280.binning_data.json,10011,2019-06-06 05:05:54.881,2019-06-06 05:03:42.566,99.0,0.0,44.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-06 04:59:59.999,74dae30a-e304-7272-4da2-d7c4adc17280,
